"id","user_posted","name","description","date_posted","photos","url","quoted_post","tagged_users","replies","reposts","likes","views","external_url","hashtags","followers","biography","posts_count","profile_image_link","following","is_verified","quotes","bookmarks","parent_post_details","external_image_urls","videos","external_video_urls","timestamp","input","discovery_input","error","error_code","warning","warning_code"
"1883286283994497404","Oscar109110","Oscar109110","Happy Australia Day everyone 

I’m back after getting ‘doxxed’ by anti fascists. Had to lay low for a bit","2025-01-25T22:50:14.000Z",,"https://x.com/Oscar109110/status/1883286283994497404","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,3,0,36,375,,,653,"Mass deportation enthusiast",1885,"https://pbs.twimg.com/profile_images/1765664588941627392/72AVTc5U_normal.jpg",383,false,0,0,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,,"2025-03-09T14:43:33.988Z","{""url"":""https://twitter.com/1733036753416765440/status/1883286283994497404""}","{""url"":""https://x.com/Oscar109110"",""start_date"":"""",""end_date"":""""}",,,,
"1878907977115242617","Oscar109110","Oscar109110","So why exactly did the police have to arrest these men?","2025-01-13T20:52:24.000Z","[""https://pbs.twimg.com/media/GhM41hUagAASUDT.jpg""]","https://x.com/Oscar109110/status/1878907977115242617","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,5,2,41,1377,,,653,"Mass deportation enthusiast",1885,"https://pbs.twimg.com/profile_images/1765664588941627392/72AVTc5U_normal.jpg",383,false,1,1,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,,"2025-03-09T14:43:34.119Z","{""url"":""https://twitter.com/1733036753416765440/status/1878907977115242617""}","{""url"":""https://x.com/Oscar109110"",""start_date"":"""",""end_date"":""""}",,,,
"1878279199846478226","Oscar109110","Oscar109110","Start of year vs end of year: @WhiteAusQLD @NSNContactBot @EuropeanAusMvt","2025-01-12T03:13:52.000Z","[""https://pbs.twimg.com/media/GhD89ylbsAA7qXX.jpg"",""https://pbs.twimg.com/media/GhD89ylbIAA1z7I.jpg""]","https://x.com/Oscar109110/status/1878279199846478226","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}","[{""profile_id"":""1832711528438714368"",""profile_name"":""Queensland"",""url"":""https://x.com/WhiteAusQLD"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null},{""profile_id"":""1762752751132618752"",""profile_name"":""NSN"",""url"":""https://x.com/NSNContactBot"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null},{""profile_id"":""1736605896602521600"",""profile_name"":""European Australian Movement"",""url"":""https://x.com/EuropeanAusMvt"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null}]",1,1,30,732,,,653,"Mass deportation enthusiast",1885,"https://pbs.twimg.com/profile_images/1765664588941627392/72AVTc5U_normal.jpg",383,false,0,1,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,,"2025-03-09T14:43:34.180Z","{""url"":""https://twitter.com/1733036753416765440/status/1878279199846478226""}","{""url"":""https://x.com/Oscar109110"",""start_date"":"""",""end_date"":""""}",,,,
"1883474728679289098","Oscar109110","Oscar109110","Michael Nelson clip farming to the media (legend)","2025-01-26T11:19:03.000Z",,"https://x.com/Oscar109110/status/1883474728679289098","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,6,14,102,1789,,,653,"Mass deportation enthusiast",1885,"https://pbs.twimg.com/profile_images/1765664588941627392/72AVTc5U_normal.jpg",383,false,2,8,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,"[{""video_url"":""https://video.twimg.com/amplify_video/1883474487255162880/vid/avc1/1280x720/0KVrwnRr-uOs837y.mp4?tag=14"",""duration"":14540}]",,"2025-03-09T14:43:34.235Z","{""url"":""https://twitter.com/1733036753416765440/status/1883474728679289098""}","{""url"":""https://x.com/Oscar109110"",""start_date"":"""",""end_date"":""""}",,,,
"1869212604301979769","Oscar109110","Oscar109110","📍Grampians national park 
@WhiteAusVic","2024-12-18T02:46:27.000Z","[""https://pbs.twimg.com/media/GfDG8J_a8AAhrNB.jpg""]","https://x.com/Oscar109110/status/1869212604301979769","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}","[{""profile_id"":""1830439496590270464"",""profile_name"":""Victoria"",""url"":""https://x.com/WhiteAusVic"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null}]",5,4,69,2296,,,653,"Mass deportation enthusiast",1885,"https://pbs.twimg.com/profile_images/1765664588941627392/72AVTc5U_normal.jpg",383,false,2,1,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,,"2025-03-09T14:43:35.094Z","{""url"":""https://twitter.com/1733036753416765440/status/1869212604301979769""}","{""url"":""https://x.com/Oscar109110"",""start_date"":"""",""end_date"":""""}",,,,
"1870776002571604099","Oscar109110","Oscar109110","Jews will get mad when seeing these photos. @WhiteAusVic","2024-12-22T10:18:51.000Z","[""https://pbs.twimg.com/media/GfZU2jSaEAAGP9s.jpg"",""https://pbs.twimg.com/media/GfZU2jQbAAAfj12.jpg""]","https://x.com/Oscar109110/status/1870776002571604099","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}","[{""profile_id"":""1830439496590270464"",""profile_name"":""Victoria"",""url"":""https://x.com/WhiteAusVic"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null}]",4,2,37,538,,,653,"Mass deportation enthusiast",1885,"https://pbs.twimg.com/profile_images/1765664588941627392/72AVTc5U_normal.jpg",383,false,0,0,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,,"2025-03-09T14:43:35.262Z","{""url"":""https://twitter.com/1733036753416765440/status/1870776002571604099""}","{""url"":""https://x.com/Oscar109110"",""start_date"":"""",""end_date"":""""}",,,,
"1876803771050721580","Oscar109110","Oscar109110","No need to explain","2025-01-08T01:31:03.000Z","[""https://pbs.twimg.com/media/Ggu_EtmawAACmYY.jpg""]","https://x.com/Oscar109110/status/1876803771050721580","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}",,0,3,48,492,,,653,"Mass deportation enthusiast",1885,"https://pbs.twimg.com/profile_images/1765664588941627392/72AVTc5U_normal.jpg",383,false,0,0,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,,"2025-03-09T14:43:35.670Z","{""url"":""https://twitter.com/1733036753416765440/status/1876803771050721580""}","{""url"":""https://x.com/Oscar109110"",""start_date"":"""",""end_date"":""""}",,,,
"1865639799337652459","Oscar109110","Oscar109110","@TheRoyalSerf He’s still alive I’m pretty sure","2024-12-08T06:09:24.000Z",,"https://x.com/Oscar109110/status/1865639799337652459","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}","[{""profile_id"":""1509913938296639491"",""profile_name"":""Serf"",""url"":""https://x.com/TheRoyalSerf"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null}]",2,0,39,3216,,,653,"Mass deportation enthusiast",1885,"https://pbs.twimg.com/profile_images/1765664588941627392/72AVTc5U_normal.jpg",383,false,0,0,"{""post_id"":""1865593753513468396"",""profile_id"":""1509913938296639491"",""profile_name"":""TheRoyalSerf""}",,,,"2025-03-09T14:43:36.236Z","{""url"":""https://twitter.com/1733036753416765440/status/1865639799337652459""}","{""url"":""https://x.com/Oscar109110"",""start_date"":"""",""end_date"":""""}",,,,
"1865695367939154327","Oscar109110","Oscar109110","White boy activities. @WhiteAusVic @EuropeanAusMvt @NSNContactBot","2024-12-08T09:50:13.000Z","[""https://pbs.twimg.com/media/GeRICeRaQAANNkA.jpg""]","https://x.com/Oscar109110/status/1865695367939154327","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}","[{""profile_id"":""1830439496590270464"",""profile_name"":""Victoria"",""url"":""https://x.com/WhiteAusVic"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null},{""profile_id"":""1736605896602521600"",""profile_name"":""European Australian Movement"",""url"":""https://x.com/EuropeanAusMvt"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null},{""profile_id"":""1762752751132618752"",""profile_name"":""NSN"",""url"":""https://x.com/NSNContactBot"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null}]",1,3,48,2238,,,653,"Mass deportation enthusiast",1885,"https://pbs.twimg.com/profile_images/1765664588941627392/72AVTc5U_normal.jpg",383,false,1,2,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,,"2025-03-09T14:43:36.699Z","{""url"":""https://twitter.com/1733036753416765440/status/1865695367939154327""}","{""url"":""https://x.com/Oscar109110"",""start_date"":"""",""end_date"":""""}",,,,
"1856464232323428785","Oscar109110","Oscar109110","📍Shrine of Remembrance, Melbourne @WhiteAusVic @NSNContactBot","2024-11-12T22:28:59.000Z","[""https://pbs.twimg.com/media/GcN8Xy-aQAA_-3L.jpg""]","https://x.com/Oscar109110/status/1856464232323428785","{""post_id"":null,""profile_id"":null,""profile_name"":null,""data_posted"":null,""url"":null,""description"":null,""photos"":null,""videos"":null}","[{""profile_id"":""1830439496590270464"",""profile_name"":""Victoria"",""url"":""https://x.com/WhiteAusVic"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null},{""profile_id"":""1762752751132618752"",""profile_name"":""NSN"",""url"":""https://x.com/NSNContactBot"",""biography"":null,""is_verified"":null,""following"":null,""followers"":null}]",0,6,40,1418,,,653,"Mass deportation enthusiast",1885,"https://pbs.twimg.com/profile_images/1765664588941627392/72AVTc5U_normal.jpg",383,false,1,2,"{""post_id"":null,""profile_id"":null,""profile_name"":null}",,,,"2025-03-09T14:43:37.348Z","{""url"":""https://twitter.com/1733036753416765440/status/1856464232323428785""}","{""url"":""https://x.com/Oscar109110"",""start_date"":"""",""end_date"":""""}",,,,
